data-implied-do	{LEFT_PARENTHESIS: '(' (TERMINAL) }
22_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
import-stmt1_optlist_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'IMPORT' (TERMINAL) }
part-ref	{NAME_LITERAL: '' (TERMINAL) }
sync-images-stmt	{NAME_LITERAL: 'SYNC' (TERMINAL) }
proc-interface1_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
block-construct	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'BLOCK' (TERMINAL) }
10_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
goto-stmt	{NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL) }
component-decl-list	{NAME_LITERAL: '' (TERMINAL) }
44_group_autogen	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
component-attr-spec-list	{NAME_LITERAL: 'ALLOCATABLE' (TERMINAL), NAME_LITERAL: 'CODIMENSION' (TERMINAL), NAME_LITERAL: 'CONTIGUOUS' (TERMINAL), NAME_LITERAL: 'DIMENSION' (TERMINAL), NAME_LITERAL: 'POINTER' (TERMINAL), NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL) }
subscript1_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
intent-stmt	{NAME_LITERAL: 'INTENT' (TERMINAL) }
allocatable-decl	{NAME_LITERAL: '' (TERMINAL) }
interface-block	{NAME_LITERAL: 'INTERFACE' (TERMINAL), NAME_LITERAL: 'ABSTRACT' (TERMINAL) }
action-stmt	{NAME_LITERAL: 'ALLOCATE' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'BACKSPACE' (TERMINAL), NAME_LITERAL: 'CALL' (TERMINAL), NAME_LITERAL: 'CLOSE' (TERMINAL), NAME_LITERAL: 'CONTINUE' (TERMINAL), NAME_LITERAL: 'CYCLE' (TERMINAL), NAME_LITERAL: 'DEALLOCATE' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDFUNCTION' (TERMINAL), NAME_LITERAL: 'ENDPROCEDURE' (TERMINAL), NAME_LITERAL: 'ENDPROGRAM' (TERMINAL), NAME_LITERAL: 'ENDSUBROUTINE' (TERMINAL), NAME_LITERAL: 'ENDFILE' (TERMINAL), NAME_LITERAL: 'ERROR' (TERMINAL), NAME_LITERAL: 'EXIT' (TERMINAL), NAME_LITERAL: 'FLUSH' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL), NAME_LITERAL: 'IF' (TERMINAL), NAME_LITERAL: 'INQUIRE' (TERMINAL), NAME_LITERAL: 'LOCK' (TERMINAL), NAME_LITERAL: 'NULLIFY' (TERMINAL), NAME_LITERAL: 'OPEN' (TERMINAL), NAME_LITERAL: 'PRINT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'RETURN' (TERMINAL), NAME_LITERAL: 'REWIND' (TERMINAL), NAME_LITERAL: 'STOP' (TERMINAL), NAME_LITERAL: 'SYNC' (TERMINAL), NAME_LITERAL: 'UNLOCK' (TERMINAL), NAME_LITERAL: 'WAIT' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
block	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'FORMAT' (TERMINAL), NAME_LITERAL: 'ENTRY' (TERMINAL), NAME_LITERAL: 'DATA' (TERMINAL), NAME_LITERAL: 'ALLOCATE' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'BACKSPACE' (TERMINAL), NAME_LITERAL: 'CALL' (TERMINAL), NAME_LITERAL: 'CLOSE' (TERMINAL), NAME_LITERAL: 'CONTINUE' (TERMINAL), NAME_LITERAL: 'CYCLE' (TERMINAL), NAME_LITERAL: 'DEALLOCATE' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDFUNCTION' (TERMINAL), NAME_LITERAL: 'ENDPROCEDURE' (TERMINAL), NAME_LITERAL: 'ENDPROGRAM' (TERMINAL), NAME_LITERAL: 'ENDSUBROUTINE' (TERMINAL), NAME_LITERAL: 'ENDFILE' (TERMINAL), NAME_LITERAL: 'ERROR' (TERMINAL), NAME_LITERAL: 'EXIT' (TERMINAL), NAME_LITERAL: 'FLUSH' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL), NAME_LITERAL: 'IF' (TERMINAL), NAME_LITERAL: 'INQUIRE' (TERMINAL), NAME_LITERAL: 'LOCK' (TERMINAL), NAME_LITERAL: 'NULLIFY' (TERMINAL), NAME_LITERAL: 'OPEN' (TERMINAL), NAME_LITERAL: 'PRINT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'RETURN' (TERMINAL), NAME_LITERAL: 'REWIND' (TERMINAL), NAME_LITERAL: 'STOP' (TERMINAL), NAME_LITERAL: 'SYNC' (TERMINAL), NAME_LITERAL: 'UNLOCK' (TERMINAL), NAME_LITERAL: 'WAIT' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL), NAME_LITERAL: 'ASSOCIATE' (TERMINAL), NAME_LITERAL: 'BLOCK' (TERMINAL), NAME_LITERAL: 'SELECT' (TERMINAL), NAME_LITERAL: 'SELECTCASE' (TERMINAL), NAME_LITERAL: 'CRITICAL' (TERMINAL), NAME_LITERAL: 'SELECTTYPE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
component-spec	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
implied-shape-spec-list	{ASTERIK: '*' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
81_group_autogen	{NAME_LITERAL: 'IN' (TERMINAL), NAME_LITERAL: 'OUT' (TERMINAL), NAME_LITERAL: 'INOUT' (TERMINAL) }
deferred-coshape-spec-list	{COLON: ':' (TERMINAL) }
internal-subprogram-part	{NAME_LITERAL: 'CONTAINS' (TERMINAL) }
derived-type-stmt	{NAME_LITERAL: 'TYPE' (TERMINAL) }
51_group_autogen	{COMMA: ',' (TERMINAL) }
data-stmt-object-list	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
component-part	{NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: 'PROCEDURE' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
output-item-list	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
dealloc-opt	{NAME_LITERAL: 'STAT' (TERMINAL), NAME_LITERAL: 'ERRMSG' (TERMINAL) }
NAME_LITERAL2_opt_autogen	{NAME_LITERAL: '' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
2_opt_autogen	{LEFT_SQUARE_BRACKET: '[' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
end-if-stmt	{NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDIF' (TERMINAL) }
37_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
sync-memory-stmt	{NAME_LITERAL: 'SYNC' (TERMINAL) }
label-do-stmt	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL) }
execution-part2_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'ALLOCATE' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'BACKSPACE' (TERMINAL), NAME_LITERAL: 'CALL' (TERMINAL), NAME_LITERAL: 'CLOSE' (TERMINAL), NAME_LITERAL: 'CONTINUE' (TERMINAL), NAME_LITERAL: 'CYCLE' (TERMINAL), NAME_LITERAL: 'DEALLOCATE' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDFUNCTION' (TERMINAL), NAME_LITERAL: 'ENDPROCEDURE' (TERMINAL), NAME_LITERAL: 'ENDPROGRAM' (TERMINAL), NAME_LITERAL: 'ENDSUBROUTINE' (TERMINAL), NAME_LITERAL: 'ENDFILE' (TERMINAL), NAME_LITERAL: 'ERROR' (TERMINAL), NAME_LITERAL: 'EXIT' (TERMINAL), NAME_LITERAL: 'FLUSH' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL), NAME_LITERAL: 'IF' (TERMINAL), NAME_LITERAL: 'INQUIRE' (TERMINAL), NAME_LITERAL: 'LOCK' (TERMINAL), NAME_LITERAL: 'NULLIFY' (TERMINAL), NAME_LITERAL: 'OPEN' (TERMINAL), NAME_LITERAL: 'PRINT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'RETURN' (TERMINAL), NAME_LITERAL: 'REWIND' (TERMINAL), NAME_LITERAL: 'STOP' (TERMINAL), NAME_LITERAL: 'SYNC' (TERMINAL), NAME_LITERAL: 'UNLOCK' (TERMINAL), NAME_LITERAL: 'WAIT' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL), NAME_LITERAL: 'ASSOCIATE' (TERMINAL), NAME_LITERAL: 'BLOCK' (TERMINAL), NAME_LITERAL: 'SELECT' (TERMINAL), NAME_LITERAL: 'SELECTCASE' (TERMINAL), NAME_LITERAL: 'CRITICAL' (TERMINAL), NAME_LITERAL: 'SELECTTYPE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
inquire-stmt	{NAME_LITERAL: 'INQUIRE' (TERMINAL) }
65_group_autogen	{COMMA: ',' (TERMINAL) }
37_group_autogen	{COMMA: ',' (TERMINAL) }
15_group_autogen	{COMMA: ',' (TERMINAL) }
end-associate-stmt	{NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDASSOCIATE' (TERMINAL) }
20_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
62_group_autogen	{COMMA: ',' (TERMINAL) }
add-op	{PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL) }
end-type-stmt	{NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDTYPE' (TERMINAL) }
module	{NAME_LITERAL: 'MODULE' (TERMINAL) }
30_optlist_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL) }
language-binding-spec	{NAME_LITERAL: 'BIND' (TERMINAL) }
enumerator-list	{NAME_LITERAL: '' (TERMINAL) }
26_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
enum-def-stmt	{NAME_LITERAL: 'ENUM' (TERMINAL) }
allocation	{NAME_LITERAL: '' (TERMINAL) }
lock-stat	{NAME_LITERAL: 'ACQUIRED' (TERMINAL), NAME_LITERAL: 'STAT' (TERMINAL), NAME_LITERAL: 'ERRMSG' (TERMINAL) }
type-guard-stmt	{NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL) }
bounds-remapping	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
5_group_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL) }
stmt-function-stmt	{NAME_LITERAL: '' (TERMINAL) }
subscript-triplet	{_EMTPTY_: '' (TERMINAL), COLON: ':' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
type-bound-proc-decl-list	{NAME_LITERAL: '' (TERMINAL) }
char-selector	{LEFT_PARENTHESIS: '(' (TERMINAL), ASTERIK: '*' (TERMINAL), COLON: ':' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
external-subprogram	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'FUNCTION' (TERMINAL), NAME_LITERAL: 'USE' (TERMINAL), NAME_LITERAL: 'IMPORT' (TERMINAL), NAME_LITERAL: 'CONTAINS' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDFUNCTION' (TERMINAL), NAME_LITERAL: 'SUBROUTINE' (TERMINAL), NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: 'ELEMENTAL' (TERMINAL), NAME_LITERAL: 'IMPURE' (TERMINAL), NAME_LITERAL: 'MODULE' (TERMINAL), NAME_LITERAL: 'PURE' (TERMINAL), NAME_LITERAL: 'RECURSIVE' (TERMINAL), NAME_LITERAL: 'IMPLICIT' (TERMINAL), NAME_LITERAL: 'ENTRY' (TERMINAL), NAME_LITERAL: 'FORMAT' (TERMINAL), NAME_LITERAL: 'PARAMETER' (TERMINAL), NAME_LITERAL: 'PROCEDURE' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL), NAME_LITERAL: 'ENUM' (TERMINAL), NAME_LITERAL: 'INTERFACE' (TERMINAL), NAME_LITERAL: 'ABSTRACT' (TERMINAL), NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL), NAME_LITERAL: 'ALLOCATABLE' (TERMINAL), NAME_LITERAL: 'ASYNCHRONOUS' (TERMINAL), NAME_LITERAL: 'BIND' (TERMINAL), NAME_LITERAL: 'CODIMENSION' (TERMINAL), NAME_LITERAL: 'COMMON' (TERMINAL), NAME_LITERAL: 'DATA' (TERMINAL), NAME_LITERAL: 'DIMENSION' (TERMINAL), NAME_LITERAL: 'EQUIVALENCE' (TERMINAL), NAME_LITERAL: 'EXTERNAL' (TERMINAL), NAME_LITERAL: 'INTENT' (TERMINAL), NAME_LITERAL: 'INTRINSIC' (TERMINAL), NAME_LITERAL: 'NAMELIST' (TERMINAL), NAME_LITERAL: 'OPTIONAL' (TERMINAL), NAME_LITERAL: 'POINTER' (TERMINAL), NAME_LITERAL: 'PROTECTED' (TERMINAL), NAME_LITERAL: 'SAVE' (TERMINAL), NAME_LITERAL: 'TARGET' (TERMINAL), NAME_LITERAL: 'VOLATILE' (TERMINAL), NAME_LITERAL: 'VALUE' (TERMINAL), NAME_LITERAL: 'ALLOCATE' (TERMINAL), NAME_LITERAL: 'BACKSPACE' (TERMINAL), NAME_LITERAL: 'CALL' (TERMINAL), NAME_LITERAL: 'CLOSE' (TERMINAL), NAME_LITERAL: 'CONTINUE' (TERMINAL), NAME_LITERAL: 'CYCLE' (TERMINAL), NAME_LITERAL: 'DEALLOCATE' (TERMINAL), NAME_LITERAL: 'ENDPROCEDURE' (TERMINAL), NAME_LITERAL: 'ENDPROGRAM' (TERMINAL), NAME_LITERAL: 'ENDSUBROUTINE' (TERMINAL), NAME_LITERAL: 'ENDFILE' (TERMINAL), NAME_LITERAL: 'ERROR' (TERMINAL), NAME_LITERAL: 'EXIT' (TERMINAL), NAME_LITERAL: 'FLUSH' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL), NAME_LITERAL: 'IF' (TERMINAL), NAME_LITERAL: 'INQUIRE' (TERMINAL), NAME_LITERAL: 'LOCK' (TERMINAL), NAME_LITERAL: 'NULLIFY' (TERMINAL), NAME_LITERAL: 'OPEN' (TERMINAL), NAME_LITERAL: 'PRINT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'RETURN' (TERMINAL), NAME_LITERAL: 'REWIND' (TERMINAL), NAME_LITERAL: 'STOP' (TERMINAL), NAME_LITERAL: 'SYNC' (TERMINAL), NAME_LITERAL: 'UNLOCK' (TERMINAL), NAME_LITERAL: 'WAIT' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL), NAME_LITERAL: 'ASSOCIATE' (TERMINAL), NAME_LITERAL: 'BLOCK' (TERMINAL), NAME_LITERAL: 'SELECT' (TERMINAL), NAME_LITERAL: 'SELECTCASE' (TERMINAL), NAME_LITERAL: 'CRITICAL' (TERMINAL), NAME_LITERAL: 'SELECTTYPE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
alloc-opt	{NAME_LITERAL: 'ERRMSG' (TERMINAL), NAME_LITERAL: 'MOLD' (TERMINAL), NAME_LITERAL: 'SOURCE' (TERMINAL), NAME_LITERAL: 'STAT' (TERMINAL) }
level-1-expr	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL) }
concat-op	{SLASH: '/' (TERMINAL) }
39_group_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL) }
